Subject,Start Date,Start Time,End Date,End Time,Description
Financial Management I,06/10/2025,09:00,06/10/2025,10:30,Prof. Bharati Singh
Management Accounting II,06/10/2025,10:45,06/10/2025,12:15,Prof. Amrit Panda
Marketing Management II,06/10/2025,13:30,06/10/2025,15:00,Prof. Anup Anurag Soren
Operations Research,06/10/2025,15:15,06/10/2025,16:45,Prof. Nikhil Dhakate
Macroeconomics,07/10/2025,10:45,07/10/2025,12:15,Prof. Anirban Sengupta
Organizational Behaviour II,07/10/2025,13:30,07/10/2025,15:00,Prof. Tarun Kumar Vashisth
Management Accounting II,07/10/2025,15:15,07/10/2025,16:45,Prof. Amrit Panda
Organizational Behaviour II,08/10/2025,09:00,08/10/2025,10:30,Prof. Tarun Kumar Vashisth
Operations Research,08/10/2025,10:45,08/10/2025,12:15,Prof. Nikhil Dhakate
Financial Management I,08/10/2025,13:30,08/10/2025,15:00,Prof. Bharati Singh
Marketing Management II,08/10/2025,15:15,08/10/2025,16:45,Prof. Anup Anurag Soren
Macroeconomics,09/10/2025,09:00,09/10/2025,10:30,Prof. Anirban Sengupta
Management Accounting II,09/10/2025,13:30,09/10/2025,15:00,Prof. Amrit Panda
Workshop on Interviews and Presentations,09/10/2025,15:15,09/10/2025,16:45,Prof. Anamita Guha
Financial Management I,10/10/2025,09:00,10/10/2025,10:30,Prof. Bharati Singh
Operations Research,10/10/2025,10:45,10/10/2025,12:15,Prof. Nikhil Dhakate
Marketing Management II,10/10/2025,13:30,10/10/2025,15:00,Prof. Anup Anurag Soren
Organizational Behaviour II,10/10/2025,15:15,10/10/2025,16:45,Prof. Tarun Kumar Vashisth
Marketing Management II,13/10/2025,09:00,13/10/2025,10:30,Prof. Anup Anurag Soren
Operations Research,13/10/2025,10:45,13/10/2025,12:15,Prof. Nikhil Dhakate
Management Accounting II,13/10/2025,13:30,13/10/2025,15:00,Prof. Amrit Panda
Organizational Behaviour II,13/10/2025,15:15,13/10/2025,16:45,Prof. Tarun Kumar Vashisth
Macroeconomics,14/10/2025,10:45,14/10/2025,12:15,Prof. Anirban Sengupta
Financial Management I,14/10/2025,13:30,14/10/2025,15:00,Prof. Bharati Singh
Management Accounting II,15/10/2025,09:00,15/10/2025,10:30,Prof. Amrit Panda
Organizational Behaviour II,15/10/2025,10:45,15/10/2025,12:15,Prof. Tarun Kumar Vashisth
Operations Research,15/10/2025,13:30,15/10/2025,15:00,Prof. Nikhil Dhakate
Financial Management I,15/10/2025,15:15,15/10/2025,16:45,Prof. Bharati Singh
Workshop on Interviews and Presentations,16/10/2025,09:00,16/10/2025,10:30,(Guest Session)
Macroeconomics,16/10/2025,10:45,16/10/2025,12:15,Prof. Anirban Sengupta
Marketing Management II,16/10/2025,13:30,16/10/2025,15:00,Prof. Anup Anurag Soren
Operations Research,17/10/2025,09:00,17/10/2025,10:30,Prof. Nikhil Dhakate
Organizational Behaviour II,17/10/2025,10:45,17/10/2025,12:15,Prof. Tarun Kumar Vashisth
Marketing Management II,17/10/2025,13:30,17/10/2025,15:00,Prof. Anup Anurag Soren
Management Accounting II,17/10/2025,15:15,17/10/2025,16:45,Prof. Amrit Panda
DIWALI,20/10/2025,09:00,20/10/2025,10:30,nan
DIWALI,20/10/2025,10:45,20/10/2025,12:15,nan
DIWALI,20/10/2025,13:30,20/10/2025,15:00,nan
DIWALI,20/10/2025,15:15,20/10/2025,16:45,nan
Marketing Management II,21/10/2025,09:00,21/10/2025,10:30,Prof. Anup Anurag Soren
Workshop on Interviews and Presentations,21/10/2025,10:45,21/10/2025,12:15,Prof. Anamita Guha
Financial Management I,21/10/2025,13:30,21/10/2025,15:00,Prof. Bharati Singh
Operations Research,22/10/2025,09:00,22/10/2025,10:30,Prof. Nikhil Dhakate
Organizational Behaviour II,22/10/2025,10:45,22/10/2025,12:15,Prof. Tarun Kumar Vashisth
Macroeconomics,23/10/2025,09:00,23/10/2025,10:30,Prof. Anirban Sengupta
Operations Research,24/10/2025,09:00,24/10/2025,10:30,Prof. Nikhil Dhakate
Management Accounting II,27/10/2025,09:00,27/10/2025,10:30,Prof. Amrit Panda
Financial Management I,27/10/2025,10:45,27/10/2025,12:15,Prof. Bharati Singh
Workshop on Interviews and Presentations,27/10/2025,13:30,27/10/2025,15:00,Prof. Anamita Guha
Macroeconomics,27/10/2025,15:15,27/10/2025,16:45,Prof. Anirban Sengupta
CHHATH PUJA,28/10/2025,09:00,28/10/2025,10:30,nan
CHHATH PUJA,28/10/2025,10:45,28/10/2025,12:15,nan
CHHATH PUJA,28/10/2025,13:30,28/10/2025,15:00,nan
CHHATH PUJA,28/10/2025,15:15,28/10/2025,16:45,nan
Operations Research,29/10/2025,09:00,29/10/2025,10:30,Prof. Nikhil Dhakate
Organizational Behaviour II,29/10/2025,13:30,29/10/2025,15:00,Prof. Tarun Kumar Vashisth
Macroeconomics,29/10/2025,15:15,29/10/2025,16:45,Prof. Anirban Sengupta
Marketing Management II,30/10/2025,09:00,30/10/2025,10:30,Prof. Anup Anurag Soren
Financial Management I,30/10/2025,10:45,30/10/2025,12:15,Prof. Bharati Singh
Management Accounting II,30/10/2025,13:30,30/10/2025,15:00,Prof. Amrit Panda
Management Accounting II,31/10/2025,09:00,31/10/2025,10:30,Prof. Amrit Panda
Organizational Behaviour II,31/10/2025,10:45,31/10/2025,12:15,Prof. Tarun Kumar Vashisth
Macroeconomics,31/10/2025,13:30,31/10/2025,15:00,Prof. Anirban Sengupta
Organizational Behaviour II,03/11/2025,10:45,03/11/2025,12:15,Prof. Tarun Kumar Vashisth
Operations Research,03/11/2025,13:30,03/11/2025,15:00,Prof. Nikhil Dhakate
Marketing Management II,03/11/2025,15:15,03/11/2025,16:45,Prof. Anup Anurag Soren
Management Accounting II,04/11/2025,09:00,04/11/2025,10:30,Prof. Amrit Panda
GURUNANAK JAYANTI,05/11/2025,09:00,05/11/2025,10:30,nan
GURUNANAK JAYANTI,05/11/2025,10:45,05/11/2025,12:15,nan
GURUNANAK JAYANTI,05/11/2025,13:30,05/11/2025,15:00,nan
GURUNANAK JAYANTI,05/11/2025,15:15,05/11/2025,16:45,nan
Macroeconomics,06/11/2025,09:00,06/11/2025,10:30,Prof. Anirban Sengupta
Marketing Management II,06/11/2025,10:45,06/11/2025,12:15,Prof. Anup Anurag Soren
Macroeconomics,06/11/2025,13:30,06/11/2025,15:00,Prof. Anirban Sengupta
NETRITVA,08/11/2025,09:00,08/11/2025,10:30,nan
NETRITVA,08/11/2025,10:45,08/11/2025,12:15,nan
NETRITVA,08/11/2025,13:30,08/11/2025,15:00,nan
NETRITVA,08/11/2025,15:15,08/11/2025,16:45,nan
MID SEM EXAMINATIONS,10/11/2025,09:00,10/11/2025,10:30,nan
MID SEM EXAMINATIONS,10/11/2025,10:45,10/11/2025,12:15,nan
MID SEM EXAMINATIONS,10/11/2025,13:30,10/11/2025,15:00,nan
MID SEM EXAMINATIONS,10/11/2025,15:15,10/11/2025,16:45,nan
MID SEM EXAMINATIONS,11/11/2025,09:00,11/11/2025,10:30,nan
MID SEM EXAMINATIONS,11/11/2025,10:45,11/11/2025,12:15,nan
MID SEM EXAMINATIONS,11/11/2025,13:30,11/11/2025,15:00,nan
MID SEM EXAMINATIONS,11/11/2025,15:15,11/11/2025,16:45,nan
MID SEM EXAMINATIONS,12/11/2025,09:00,12/11/2025,10:30,nan
MID SEM EXAMINATIONS,12/11/2025,10:45,12/11/2025,12:15,nan
MID SEM EXAMINATIONS,12/11/2025,13:30,12/11/2025,15:00,nan
MID SEM EXAMINATIONS,12/11/2025,15:15,12/11/2025,16:45,nan
MID SEM EXAMINATIONS,13/11/2025,09:00,13/11/2025,10:30,nan
MID SEM EXAMINATIONS,13/11/2025,10:45,13/11/2025,12:15,nan
MID SEM EXAMINATIONS,13/11/2025,13:30,13/11/2025,15:00,nan
MID SEM EXAMINATIONS,13/11/2025,15:15,13/11/2025,16:45,nan
MID SEM EXAMINATIONS,14/11/2025,09:00,14/11/2025,10:30,nan
MID SEM EXAMINATIONS,14/11/2025,10:45,14/11/2025,12:15,nan
MID SEM EXAMINATIONS,14/11/2025,13:30,14/11/2025,15:00,nan
MID SEM EXAMINATIONS,14/11/2025,15:15,14/11/2025,16:45,nan
MID SEM EXAMINATIONS,15/11/2025,09:00,15/11/2025,10:30,nan
MID SEM EXAMINATIONS,15/11/2025,10:45,15/11/2025,12:15,nan
MID SEM EXAMINATIONS,15/11/2025,13:30,15/11/2025,15:00,nan
MID SEM EXAMINATIONS,15/11/2025,15:15,15/11/2025,16:45,nan
Entrepreneurship,17/11/2025,09:00,17/11/2025,10:30,Prof. Loitongbam Athouba Meetei
Financial Management I,17/11/2025,10:45,17/11/2025,12:15,Prof. Bharati Singh
Marketing Management II,17/11/2025,13:30,17/11/2025,15:00,Prof. Tamal Samanta
Macroeconomics,17/11/2025,15:15,17/11/2025,16:45,Prof. Anirban Sengupta
Design Thinking,18/11/2025,09:00,18/11/2025,10:30,Prof. Bishal Dey Sarkar
Human Resource Management,18/11/2025,10:45,18/11/2025,12:15,Prof. Manoj Kumar Jaiswal
Operations Research,18/11/2025,13:30,18/11/2025,15:00,Prof. Nikhil Dhakate
Workshop on Interviews and Presentations,18/11/2025,15:15,18/11/2025,16:45,Prof. Anamita Guha
Entrepreneurship,19/11/2025,09:00,19/11/2025,10:30,Prof. Loitongbam Athouba Meetei
Operations Research,19/11/2025,10:45,19/11/2025,12:15,Prof. Nikhil Dhakate
Financial Management I,19/11/2025,13:30,19/11/2025,15:00,Prof. Bharati Singh
Macroeconomics,19/11/2025,15:15,19/11/2025,16:45,Prof. Anirban Sengupta
Design Thinking,20/11/2025,09:00,20/11/2025,10:30,Prof. Bishal Dey Sarkar
Human Resource Management,20/11/2025,10:45,20/11/2025,12:15,Prof. Manoj Kumar Jaiswal
Marketing Management II,20/11/2025,13:30,20/11/2025,15:00,Prof. Tamal Samanta
Entrepreneurship,20/11/2025,15:15,20/11/2025,16:45,Prof. Loitongbam Athouba Meetei
Operations Research,21/11/2025,09:00,21/11/2025,10:30,Prof. Nikhil Dhakate
Marketing Management II,21/11/2025,10:45,21/11/2025,12:15,Prof. Tamal Samanta
Macroeconomics,21/11/2025,13:30,21/11/2025,15:00,Prof. Anirban Sengupta
Financial Management I,21/11/2025,15:15,21/11/2025,16:45,Prof. Bharati Singh
Design Thinking,22/11/2025,09:00,22/11/2025,10:30,Prof. Bishal Dey Sarkar
Marketing Management II,24/11/2025,09:00,24/11/2025,10:30,Prof. Tamal Samanta
Operations Research,24/11/2025,10:45,24/11/2025,12:15,Prof. Nikhil Dhakate
Macroeconomics,24/11/2025,13:30,24/11/2025,15:00,Prof. Anirban Sengupta
Design Thinking,24/11/2025,15:15,24/11/2025,16:45,Prof. Bishal Dey Sarkar
Financial Management I,25/11/2025,09:00,25/11/2025,10:30,Prof. Bharati Singh
Human Resource Management,25/11/2025,10:45,25/11/2025,12:15,Prof. Manoj Kumar Jaiswal
Entrepreneurship,25/11/2025,13:30,25/11/2025,15:00,Prof. Loitongbam Athouba Meetei
Workshop on Interviews and Presentations,25/11/2025,15:15,25/11/2025,16:45,Prof. Anamita Guha
Human Resource Management,26/11/2025,09:00,26/11/2025,10:30,Prof. Manoj Kumar Jaiswal
Operations Research,26/11/2025,13:30,26/11/2025,15:00,Prof. Nikhil Dhakate
Marketing Management II,26/11/2025,15:15,26/11/2025,16:45,Prof. Tamal Samanta
Design Thinking,27/11/2025,09:00,27/11/2025,10:30,Prof. Bishal Dey Sarkar
Financial Management I,27/11/2025,10:45,27/11/2025,12:15,Prof. Bharati Singh
Macroeconomics,27/11/2025,13:30,27/11/2025,15:00,Prof. Anirban Sengupta
Entrepreneurship,27/11/2025,15:15,27/11/2025,16:45,Prof. Loitongbam Athouba Meetei
Macroeconomics,28/11/2025,09:00,28/11/2025,10:30,Prof. Anirban Sengupta
Entrepreneurship,28/11/2025,13:30,28/11/2025,15:00,Prof. Loitongbam Athouba Meetei
Operations Research,28/11/2025,15:15,28/11/2025,16:45,Prof. Nikhil Dhakate
Human Resource Management,29/11/2025,09:00,29/11/2025,10:30,Prof. Manoj Kumar Jaiswal
Marketing Management II,29/11/2025,13:30,29/11/2025,15:00,Prof. Tamal Samanta
Financial Management I,01/12/2025,09:00,01/12/2025,10:30,Prof. Bharati Singh
Macroeconomics,01/12/2025,10:45,01/12/2025,12:15,Prof. Anirban Sengupta
Operations Research,01/12/2025,13:30,01/12/2025,15:00,Prof. Nikhil Dhakate
