Subject,Start Date,Start Time,End Date,End Time,Description
Operations Research,06/10/2025,09:00,06/10/2025,10:30,Prof. Chiranjit Das
Management Accounting II,06/10/2025,13:30,06/10/2025,15:00,Prof. Somya Gupta
Organizational Behaviour II,06/10/2025,15:15,06/10/2025,16:45,Prof. Vittal Rangan S
Workshop on Interviews and Presentations,07/10/2025,09:00,07/10/2025,10:30,Prof. Urjani Chakravarty
Marketing Management II,07/10/2025,10:45,07/10/2025,12:15,Prof. Medha Srivastava
Financial Management I,07/10/2025,13:30,07/10/2025,15:00,Prof. Amrit Panda
Operations Research,08/10/2025,09:00,08/10/2025,10:30,Prof. Chiranjit Das
Management Accounting II,08/10/2025,13:30,08/10/2025,15:00,Prof. Somya Gupta
Organizational Behaviour II,08/10/2025,15:15,08/10/2025,16:45,Prof. Vittal Rangan S
Marketing Management II,09/10/2025,10:45,09/10/2025,12:15,Prof. Medha Srivastava
Management Accounting II,09/10/2025,15:15,09/10/2025,16:45,Prof. Somya Gupta
Financial Management I,10/10/2025,09:00,10/10/2025,10:30,Prof. Amrit Panda
Operations Research,10/10/2025,10:45,10/10/2025,12:15,Prof. Chiranjit Das
Marketing Management II,10/10/2025,13:30,10/10/2025,15:00,Prof. Medha Srivastava
Organizational Behaviour II,10/10/2025,15:15,10/10/2025,16:45,Prof. Vittal Rangan S
Organizational Behaviour II,12/10/2025,09:00,12/10/2025,10:30,Prof. Vittal Rangan S
Financial Management I,12/10/2025,10:45,12/10/2025,12:15,Prof. Amrit Panda
Marketing Management II,13/10/2025,09:00,13/10/2025,10:30,Prof. Medha Srivastava
Operations Research,13/10/2025,10:45,13/10/2025,12:15,Prof. Chiranjit Das
Operations Research,14/10/2025,09:00,14/10/2025,10:30,Prof. Chiranjit Das
Organizational Behaviour II,14/10/2025,10:45,14/10/2025,12:15,Prof. Vittal Rangan S
Management Accounting II,14/10/2025,13:30,14/10/2025,15:00,Prof. Somya Gupta
Financial Management I,14/10/2025,15:15,14/10/2025,16:45,Prof. Amrit Panda
Marketing Management II,15/10/2025,10:45,15/10/2025,12:15,Prof. Medha Srivastava
Macroeconomics,15/10/2025,13:30,15/10/2025,15:00,Prof. Gupteshwar Patel
Management Accounting II,15/10/2025,15:15,15/10/2025,16:45,Prof. Somya Gupta
Workshop on Interviews and Presentations,16/10/2025,09:00,16/10/2025,10:30,(Guest Session)
Organizational Behaviour II,16/10/2025,10:45,16/10/2025,12:15,Prof. Vittal Rangan S
Financial Management I,16/10/2025,13:30,16/10/2025,15:00,Prof. Amrit Panda
Macroeconomics,16/10/2025,15:15,16/10/2025,16:45,Prof. Gupteshwar Patel
Marketing Management II,17/10/2025,09:00,17/10/2025,10:30,Prof. Medha Srivastava
Macroeconomics,17/10/2025,10:45,17/10/2025,12:15,Prof. Gupteshwar Patel
Management Accounting II,17/10/2025,13:30,17/10/2025,15:00,Prof. Somya Gupta
Macroeconomics,18/10/2025,09:00,18/10/2025,10:30,Prof. Gupteshwar Patel
DIWALI,20/10/2025,09:00,20/10/2025,10:30,nan
DIWALI,20/10/2025,10:45,20/10/2025,12:15,nan
DIWALI,20/10/2025,13:30,20/10/2025,15:00,nan
DIWALI,20/10/2025,15:15,20/10/2025,16:45,nan
Macroeconomics,21/10/2025,09:00,21/10/2025,10:30,Prof. Gupteshwar Patel
