Subject,Start Date,Start Time,End Date,End Time,Description
Operations Research,22/10/2025,09:00,22/10/2025,10:30,Prof. Chiranjit Das
Macroeconomics,22/10/2025,10:45,22/10/2025,12:15,Prof. Gupteshwar Patel
Operations Research,24/10/2025,09:00,24/10/2025,10:30,Prof. Chiranjit Das
Workshop on Interviews and Presentations,24/10/2025,10:45,24/10/2025,12:15,Prof. Urjani Chakravarty
Operations Research,27/10/2025,09:00,27/10/2025,10:30,Prof. Chiranjit Das
Marketing Management II,27/10/2025,10:45,27/10/2025,12:15,Prof. Medha Srivastava
Management Accounting II,27/10/2025,15:15,27/10/2025,16:45,Prof. Somya Gupta
CHHATH PUJA,28/10/2025,09:00,28/10/2025,10:30,nan
CHHATH PUJA,28/10/2025,10:45,28/10/2025,12:15,nan
CHHATH PUJA,28/10/2025,13:30,28/10/2025,15:00,nan
CHHATH PUJA,28/10/2025,15:15,28/10/2025,16:45,nan
Macroeconomics,29/10/2025,09:00,29/10/2025,10:30,Prof. Gupteshwar Patel
Financial Management I,29/10/2025,10:45,29/10/2025,12:15,Prof. Amrit Panda
Marketing Management II,29/10/2025,13:30,29/10/2025,15:00,Prof. Medha Srivastava
Organizational Behaviour II,29/10/2025,15:15,29/10/2025,16:45,Prof. Vittal Rangan S
Operations Research,30/10/2025,09:00,30/10/2025,10:30,Prof. Chiranjit Das
Macroeconomics,30/10/2025,10:45,30/10/2025,12:15,Prof. Gupteshwar Patel
Management Accounting II,30/10/2025,13:30,30/10/2025,15:00,Prof. Somya Gupta
Financial Management I,30/10/2025,15:15,30/10/2025,16:45,Prof. Amrit Panda
Management Accounting II,31/10/2025,09:00,31/10/2025,10:30,Prof. Somya Gupta
Marketing Management II,31/10/2025,10:45,31/10/2025,12:15,Prof. Medha Srivastava
Macroeconomics,31/10/2025,13:30,31/10/2025,15:00,Prof. Gupteshwar Patel
Organizational Behaviour II,31/10/2025,15:15,31/10/2025,16:45,Prof. Vittal Rangan S
Marketing Management II,03/11/2025,09:00,03/11/2025,10:30,Prof. Medha Srivastava
Workshop on Interviews and Presentations,03/11/2025,13:30,03/11/2025,15:00,Prof. Urjani Chakravarty
Management Accounting II,03/11/2025,15:15,03/11/2025,16:45,Prof. Somya Gupta
Financial Management I,04/11/2025,10:45,04/11/2025,12:15,Prof. Amrit Panda
Macroeconomics,04/11/2025,13:30,04/11/2025,15:00,Prof. Gupteshwar Patel
Organizational Behaviour II,04/11/2025,15:15,04/11/2025,16:45,Prof. Vittal Rangan S
GURUNANAK JAYANTI,05/11/2025,09:00,05/11/2025,10:30,nan
GURUNANAK JAYANTI,05/11/2025,10:45,05/11/2025,12:15,nan
GURUNANAK JAYANTI,05/11/2025,13:30,05/11/2025,15:00,nan
GURUNANAK JAYANTI,05/11/2025,15:15,05/11/2025,16:45,nan
Organizational Behaviour II,06/11/2025,09:00,06/11/2025,10:30,Prof. Vittal Rangan S
Operations Research,06/11/2025,10:45,06/11/2025,12:15,Prof. Chiranjit Das
NETRITVA,08/11/2025,09:00,08/11/2025,10:30,nan
NETRITVA,08/11/2025,10:45,08/11/2025,12:15,nan
NETRITVA,08/11/2025,13:30,08/11/2025,15:00,nan
NETRITVA,08/11/2025,15:15,08/11/2025,16:45,nan
MID SEM EXAMINATIONS,10/11/2025,09:00,10/11/2025,10:30,nan
MID SEM EXAMINATIONS,10/11/2025,10:45,10/11/2025,12:15,nan
MID SEM EXAMINATIONS,10/11/2025,13:30,10/11/2025,15:00,nan
MID SEM EXAMINATIONS,10/11/2025,15:15,10/11/2025,16:45,nan
MID SEM EXAMINATIONS,11/11/2025,09:00,11/11/2025,10:30,nan
MID SEM EXAMINATIONS,11/11/2025,10:45,11/11/2025,12:15,nan
MID SEM EXAMINATIONS,11/11/2025,13:30,11/11/2025,15:00,nan
MID SEM EXAMINATIONS,11/11/2025,15:15,11/11/2025,16:45,nan
MID SEM EXAMINATIONS,12/11/2025,09:00,12/11/2025,10:30,nan
MID SEM EXAMINATIONS,12/11/2025,10:45,12/11/2025,12:15,nan
MID SEM EXAMINATIONS,12/11/2025,13:30,12/11/2025,15:00,nan
MID SEM EXAMINATIONS,12/11/2025,15:15,12/11/2025,16:45,nan
MID SEM EXAMINATIONS,13/11/2025,09:00,13/11/2025,10:30,nan
MID SEM EXAMINATIONS,13/11/2025,10:45,13/11/2025,12:15,nan
MID SEM EXAMINATIONS,13/11/2025,13:30,13/11/2025,15:00,nan
MID SEM EXAMINATIONS,13/11/2025,15:15,13/11/2025,16:45,nan
MID SEM EXAMINATIONS,14/11/2025,09:00,14/11/2025,10:30,nan
MID SEM EXAMINATIONS,14/11/2025,10:45,14/11/2025,12:15,nan
MID SEM EXAMINATIONS,14/11/2025,13:30,14/11/2025,15:00,nan
MID SEM EXAMINATIONS,14/11/2025,15:15,14/11/2025,16:45,nan
MID SEM EXAMINATIONS,15/11/2025,09:00,15/11/2025,10:30,nan
MID SEM EXAMINATIONS,15/11/2025,10:45,15/11/2025,12:15,nan
MID SEM EXAMINATIONS,15/11/2025,13:30,15/11/2025,15:00,nan
MID SEM EXAMINATIONS,15/11/2025,15:15,15/11/2025,16:45,nan
Entrepreneurship,17/11/2025,09:00,17/11/2025,10:30,Prof. Tamal Samanta
Macroeconomics,17/11/2025,10:45,17/11/2025,12:15,Prof. Gupteshwar Patel
Marketing Management II,17/11/2025,13:30,17/11/2025,15:00,Prof. Medha Srivastava
Operations Research,17/11/2025,15:15,17/11/2025,16:45,Prof. Chiranjit Das
Design Thinking,18/11/2025,09:00,18/11/2025,10:30,Prof. Nikhil Dhakate
Financial Management I,18/11/2025,10:45,18/11/2025,12:15,Prof. Amrit Panda
Human Resource Management,18/11/2025,13:30,18/11/2025,15:00,Prof. Namita Ruparel
Workshop on Interviews and Presentations,18/11/2025,15:15,18/11/2025,16:45,Prof. Urjani Chakravarty
Operations Research,19/11/2025,09:00,19/11/2025,10:30,Prof. Chiranjit Das
Macroeconomics,19/11/2025,10:45,19/11/2025,12:15,Prof. Gupteshwar Patel
Marketing Management II,19/11/2025,13:30,19/11/2025,15:00,Prof. Medha Srivastava
Human Resource Management,19/11/2025,15:15,19/11/2025,16:45,Prof. Namita Ruparel
Financial Management I,20/11/2025,09:00,20/11/2025,10:30,Prof. Amrit Panda
Design Thinking,20/11/2025,10:45,20/11/2025,12:15,Prof. Nikhil Dhakate
Human Resource Management,20/11/2025,13:30,20/11/2025,15:00,Prof. Namita Ruparel
Entrepreneurship,20/11/2025,15:15,20/11/2025,16:45,Prof. Tamal Samanta
Macroeconomics,21/11/2025,09:00,21/11/2025,10:30,Prof. Gupteshwar Patel
Operations Research,21/11/2025,10:45,21/11/2025,12:15,Prof. Chiranjit Das
Marketing Management II,21/11/2025,13:30,21/11/2025,15:00,Prof. Medha Srivastava
Entrepreneurship,21/11/2025,15:15,21/11/2025,16:45,Prof. Tamal Samanta
Design Thinking,22/11/2025,09:00,22/11/2025,10:30,Prof. Nikhil Dhakate
Entrepreneurship,22/11/2025,10:45,22/11/2025,12:15,Prof. Tamal Samanta
Macroeconomics,24/11/2025,09:00,24/11/2025,10:30,Prof. Gupteshwar Patel
Marketing Management II,24/11/2025,10:45,24/11/2025,12:15,Prof. Medha Srivastava
Operations Research,24/11/2025,13:30,24/11/2025,15:00,Prof. Chiranjit Das
Entrepreneurship,24/11/2025,15:15,24/11/2025,16:45,Prof. Tamal Samanta
Entrepreneurship,25/11/2025,09:00,25/11/2025,10:30,Prof. Tamal Samanta
Design Thinking,25/11/2025,10:45,25/11/2025,12:15,Prof. Nikhil Dhakate
Workshop on Interviews and Presentations,25/11/2025,13:30,25/11/2025,15:00,Prof. Urjani Chakravarty
Financial Management I,25/11/2025,15:15,25/11/2025,16:45,Prof. Amrit Panda
Design Thinking,26/11/2025,09:00,26/11/2025,10:30,Prof. Nikhil Dhakate
Macroeconomics,26/11/2025,10:45,26/11/2025,12:15,Prof. Gupteshwar Patel
Marketing Management II,26/11/2025,13:30,26/11/2025,15:00,Prof. Medha Srivastava
Operations Research,26/11/2025,15:15,26/11/2025,16:45,Prof. Chiranjit Das
Financial Management I,27/11/2025,09:00,27/11/2025,10:30,Prof. Amrit Panda
Human Resource Management,27/11/2025,10:45,27/11/2025,12:15,Prof. Namita Ruparel
Design Thinking,27/11/2025,13:30,27/11/2025,15:00,Prof. Nikhil Dhakate
Entrepreneurship,27/11/2025,15:15,27/11/2025,16:45,Prof. Tamal Samanta
Financial Management I,28/11/2025,09:00,28/11/2025,10:30,Prof. Amrit Panda
Operations Research,28/11/2025,10:45,28/11/2025,12:15,Prof. Chiranjit Das
Macroeconomics,28/11/2025,13:30,28/11/2025,15:00,Prof. Gupteshwar Patel
Marketing Management II,28/11/2025,15:15,28/11/2025,16:45,Prof. Medha Srivastava
Human Resource Management,29/11/2025,09:00,29/11/2025,10:30,Prof. Namita Ruparel
Marketing Management II,01/12/2025,09:00,01/12/2025,10:30,Prof. Medha Srivastava
Human Resource Management,01/12/2025,10:45,01/12/2025,12:15,Prof. Namita Ruparel
Entrepreneurship,01/12/2025,13:30,01/12/2025,15:00,Prof. Tamal Samanta
Operations Research,01/12/2025,15:15,01/12/2025,16:45,Prof. Chiranjit Das
Financial Management I,02/12/2025,09:00,02/12/2025,10:30,Prof. Amrit Panda
Macroeconomics,02/12/2025,10:45,02/12/2025,12:15,Prof. Gupteshwar Patel
Design Thinking,02/12/2025,13:30,02/12/2025,15:00,Prof. Nikhil Dhakate
Marketing Management II,03/12/2025,09:00,03/12/2025,10:30,Prof. Medha Srivastava
Macroeconomics,03/12/2025,10:45,03/12/2025,12:15,Prof. Gupteshwar Patel
Operations Research,03/12/2025,13:30,03/12/2025,15:00,Prof. Chiranjit Das
Human Resource Management,03/12/2025,15:15,03/12/2025,16:45,Prof. Namita Ruparel
Design Thinking,04/12/2025,09:00,04/12/2025,10:30,Prof. Nikhil Dhakate
Operations Research,05/12/2025,09:00,05/12/2025,10:30,Prof. Chiranjit Das
Human Resource Management,05/12/2025,10:45,05/12/2025,12:15,Prof. Namita Ruparel
Macroeconomics,05/12/2025,13:30,05/12/2025,15:00,Prof. Gupteshwar Patel
Marketing Management II,05/12/2025,15:15,05/12/2025,16:45,Prof. Medha Srivastava
Design Thinking,06/12/2025,09:00,06/12/2025,10:30,Prof. Nikhil Dhakate
Financial Management I,08/12/2025,09:00,08/12/2025,10:30,Prof. Amrit Panda
Macroeconomics,08/12/2025,10:45,08/12/2025,12:15,Prof. Gupteshwar Patel
Human Resource Management,08/12/2025,13:30,08/12/2025,15:00,Prof. Namita Ruparel
Entrepreneurship,08/12/2025,15:15,08/12/2025,16:45,Prof. Tamal Samanta
Marketing Management II,09/12/2025,09:00,09/12/2025,10:30,Prof. Medha Srivastava
Operations Research,09/12/2025,10:45,09/12/2025,12:15,Prof. Chiranjit Das
Entrepreneurship,09/12/2025,13:30,09/12/2025,15:00,Prof. Tamal Samanta
Design Thinking,10/12/2025,09:00,10/12/2025,10:30,Prof. Nikhil Dhakate
Human Resource Management,10/12/2025,10:45,10/12/2025,12:15,Prof. Namita Ruparel
Workshop on Interviews and Presentations,10/12/2025,13:30,10/12/2025,15:00,Prof. Urjani Chakravarty
Entrepreneurship,10/12/2025,15:15,10/12/2025,16:45,Prof. Tamal Samanta
END SEM EXAMINATIONS,11/12/2025,09:00,11/12/2025,10:30,nan
END SEM EXAMINATIONS,11/12/2025,10:45,11/12/2025,12:15,nan
END SEM EXAMINATIONS,11/12/2025,13:30,11/12/2025,15:00,nan
END SEM EXAMINATIONS,11/12/2025,15:15,11/12/2025,16:45,nan
END SEM EXAMINATIONS,12/12/2025,09:00,12/12/2025,10:30,nan
END SEM EXAMINATIONS,12/12/2025,10:45,12/12/2025,12:15,nan
END SEM EXAMINATIONS,12/12/2025,13:30,12/12/2025,15:00,nan
END SEM EXAMINATIONS,12/12/2025,15:15,12/12/2025,16:45,nan
END SEM EXAMINATIONS,13/12/2025,09:00,13/12/2025,10:30,nan
END SEM EXAMINATIONS,13/12/2025,10:45,13/12/2025,12:15,nan
END SEM EXAMINATIONS,13/12/2025,13:30,13/12/2025,15:00,nan
END SEM EXAMINATIONS,13/12/2025,15:15,13/12/2025,16:45,nan
END SEM EXAMINATIONS,15/12/2025,09:00,15/12/2025,10:30,nan
END SEM EXAMINATIONS,15/12/2025,10:45,15/12/2025,12:15,nan
END SEM EXAMINATIONS,15/12/2025,13:30,15/12/2025,15:00,nan
END SEM EXAMINATIONS,15/12/2025,15:15,15/12/2025,16:45,nan
END SEM EXAMINATIONS,16/12/2025,09:00,16/12/2025,10:30,nan
END SEM EXAMINATIONS,16/12/2025,10:45,16/12/2025,12:15,nan
END SEM EXAMINATIONS,16/12/2025,13:30,16/12/2025,15:00,nan
END SEM EXAMINATIONS,16/12/2025,15:15,16/12/2025,16:45,nan
END SEM EXAMINATIONS,17/12/2025,09:00,17/12/2025,10:30,nan
END SEM EXAMINATIONS,17/12/2025,10:45,17/12/2025,12:15,nan
END SEM EXAMINATIONS,17/12/2025,13:30,17/12/2025,15:00,nan
END SEM EXAMINATIONS,17/12/2025,15:15,17/12/2025,16:45,nan
