Subject,Start Date,Start Time,End Date,End Time,Description
Operations Research,03/11/2025,13:30,03/11/2025,15:00,Prof. Rohit Agarwal
Management Accounting II,03/11/2025,15:15,03/11/2025,16:45,Prof. Akash Singh Yadav
Financial Management I,04/11/2025,09:00,04/11/2025,10:30,Prof. Ashish Sharma
Macroeconomics,04/11/2025,10:45,04/11/2025,12:15,Prof. Madhumita Das
Organizational Behaviour II,04/11/2025,13:30,04/11/2025,15:00,Prof. Remya Lathabhavan
GURUNANAK JAYANTI,05/11/2025,09:00,05/11/2025,10:30,nan
GURUNANAK JAYANTI,05/11/2025,10:45,05/11/2025,12:15,nan
GURUNANAK JAYANTI,05/11/2025,13:30,05/11/2025,15:00,nan
GURUNANAK JAYANTI,05/11/2025,15:15,05/11/2025,16:45,nan
Management Accounting II,06/11/2025,09:00,06/11/2025,10:30,Prof. Akash Singh Yadav
NETRITVA,08/11/2025,09:00,08/11/2025,10:30,nan
NETRITVA,08/11/2025,10:45,08/11/2025,12:15,nan
NETRITVA,08/11/2025,13:30,08/11/2025,15:00,nan
NETRITVA,08/11/2025,15:15,08/11/2025,16:45,nan
MID TERM EXAMINATIONS,10/11/2025,09:00,10/11/2025,10:30,nan
MID TERM EXAMINATIONS,10/11/2025,10:45,10/11/2025,12:15,nan
MID TERM EXAMINATIONS,10/11/2025,13:30,10/11/2025,15:00,nan
MID TERM EXAMINATIONS,10/11/2025,15:15,10/11/2025,16:45,nan
MID TERM EXAMINATIONS,11/11/2025,09:00,11/11/2025,10:30,nan
MID TERM EXAMINATIONS,11/11/2025,10:45,11/11/2025,12:15,nan
MID TERM EXAMINATIONS,11/11/2025,13:30,11/11/2025,15:00,nan
MID TERM EXAMINATIONS,11/11/2025,15:15,11/11/2025,16:45,nan
MID TERM EXAMINATIONS,12/11/2025,09:00,12/11/2025,10:30,nan
MID TERM EXAMINATIONS,12/11/2025,10:45,12/11/2025,12:15,nan
MID TERM EXAMINATIONS,12/11/2025,13:30,12/11/2025,15:00,nan
MID TERM EXAMINATIONS,12/11/2025,15:15,12/11/2025,16:45,nan
MID TERM EXAMINATIONS,13/11/2025,09:00,13/11/2025,10:30,nan
MID TERM EXAMINATIONS,13/11/2025,10:45,13/11/2025,12:15,nan
MID TERM EXAMINATIONS,13/11/2025,13:30,13/11/2025,15:00,nan
MID TERM EXAMINATIONS,13/11/2025,15:15,13/11/2025,16:45,nan
MID TERM EXAMINATIONS,14/11/2025,09:00,14/11/2025,10:30,nan
MID TERM EXAMINATIONS,14/11/2025,10:45,14/11/2025,12:15,nan
MID TERM EXAMINATIONS,14/11/2025,13:30,14/11/2025,15:00,nan
MID TERM EXAMINATIONS,14/11/2025,15:15,14/11/2025,16:45,nan
MID TERM EXAMINATIONS,15/11/2025,09:00,15/11/2025,10:30,nan
MID TERM EXAMINATIONS,15/11/2025,10:45,15/11/2025,12:15,nan
MID TERM EXAMINATIONS,15/11/2025,13:30,15/11/2025,15:00,nan
MID TERM EXAMINATIONS,15/11/2025,15:15,15/11/2025,16:45,nan
Entrepreneurship,17/11/2025,09:00,17/11/2025,10:30,Prof. Sk Abu Khalek
Human Resource Management,17/11/2025,10:45,17/11/2025,12:15,Prof. Abhyudaya Anand Mishra
Operations Research,17/11/2025,13:30,17/11/2025,15:00,Prof. Rohit Agarwal
Marketing Management II,17/11/2025,15:15,17/11/2025,16:45,Prof. Chandan Parsad
Design Thinking,18/11/2025,09:00,18/11/2025,10:30,Prof. Vishal Ashok Wankhede
Financial Management I,18/11/2025,10:45,18/11/2025,12:15,Prof. Ashish Sharma
Macroeconomics,18/11/2025,13:30,18/11/2025,15:00,Prof. Madhumita Das
Workshop on Interviews and Presentations,18/11/2025,15:15,18/11/2025,16:45,Prof. Sanjay Kaushal
Entrepreneurship,19/11/2025,09:00,19/11/2025,10:30,Prof. Sk Abu Khalek
Human Resource Management,19/11/2025,10:45,19/11/2025,12:15,Prof. Abhyudaya Anand Mishra
Macroeconomics,19/11/2025,13:30,19/11/2025,15:00,Prof. Madhumita Das
Marketing Management II,19/11/2025,15:15,19/11/2025,16:45,Prof. Chandan Parsad
Design Thinking,20/11/2025,09:00,20/11/2025,10:30,Prof. Vishal Ashok Wankhede
Financial Management I,20/11/2025,10:45,20/11/2025,12:15,Prof. Ashish Sharma
Operations Research,20/11/2025,13:30,20/11/2025,15:00,Prof. Rohit Agarwal
Entrepreneurship,20/11/2025,15:15,20/11/2025,16:45,Prof. Sk Abu Khalek
Operations Research,21/11/2025,09:00,21/11/2025,10:30,Prof. Rohit Agarwal
Human Resource Management,21/11/2025,10:45,21/11/2025,12:15,Prof. Abhyudaya Anand Mishra
Marketing Management II,21/11/2025,13:30,21/11/2025,15:00,Prof. Chandan Parsad
Macroeconomics,21/11/2025,15:15,21/11/2025,16:45,Prof. Madhumita Das
Design Thinking,22/11/2025,09:00,22/11/2025,10:30,Prof. Vishal Ashok Wankhede
Design Thinking,24/11/2025,09:00,24/11/2025,10:30,Prof. Vishal Ashok Wankhede
Operations Research,24/11/2025,10:45,24/11/2025,12:15,Prof. Rohit Agarwal
Entrepreneurship,24/11/2025,13:30,24/11/2025,15:00,Prof. Sk Abu Khalek
Financial Management I,24/11/2025,15:15,24/11/2025,16:45,Prof. Ashish Sharma
Human Resource Management,25/11/2025,09:00,25/11/2025,10:30,Prof. Abhyudaya Anand Mishra
Marketing Management II,25/11/2025,10:45,25/11/2025,12:15,Prof. Chandan Parsad
Macroeconomics,25/11/2025,13:30,25/11/2025,15:00,Prof. Madhumita Das
Workshop on Interviews and Presentations,25/11/2025,15:15,25/11/2025,16:45,Prof. Sanjay Kaushal
Marketing Management II,26/11/2025,09:00,26/11/2025,10:30,Prof. Chandan Parsad
Financial Management I,26/11/2025,10:45,26/11/2025,12:15,Prof. Ashish Sharma
Entrepreneurship,26/11/2025,13:30,26/11/2025,15:00,Prof. Sk Abu Khalek
Macroeconomics,26/11/2025,15:15,26/11/2025,16:45,Prof. Madhumita Das
Design Thinking,27/11/2025,09:00,27/11/2025,10:30,Prof. Vishal Ashok Wankhede
Operations Research,27/11/2025,10:45,27/11/2025,12:15,Prof. Rohit Agarwal
Financial Management I,27/11/2025,13:30,27/11/2025,15:00,Prof. Ashish Sharma
Human Resource Management,27/11/2025,15:15,27/11/2025,16:45,Prof. Abhyudaya Anand Mishra
Operations Research,28/11/2025,09:00,28/11/2025,10:30,Prof. Rohit Agarwal
Macroeconomics,28/11/2025,10:45,28/11/2025,12:15,Prof. Madhumita Das
Entrepreneurship,28/11/2025,13:30,28/11/2025,15:00,Prof. Sk Abu Khalek
Marketing Management II,28/11/2025,15:15,28/11/2025,16:45,Prof. Chandan Parsad
Marketing Management II,01/12/2025,09:00,01/12/2025,10:30,Prof. Chandan Parsad
Human Resource Management,01/12/2025,10:45,01/12/2025,12:15,Prof. Abhyudaya Anand Mishra
Macroeconomics,01/12/2025,13:30,01/12/2025,15:00,Prof. Madhumita Das
Design Thinking,02/12/2025,09:00,02/12/2025,10:30,Prof. Vishal Ashok Wankhede
Financial Management I,02/12/2025,10:45,02/12/2025,12:15,Prof. Ashish Sharma
Entrepreneurship,02/12/2025,13:30,02/12/2025,15:00,Prof. Sk Abu Khalek
Operations Research,02/12/2025,15:15,02/12/2025,16:45,Prof. Rohit Agarwal
Marketing Management II,03/12/2025,09:00,03/12/2025,10:30,Prof. Chandan Parsad
Macroeconomics,03/12/2025,10:45,03/12/2025,12:15,Prof. Madhumita Das
Entrepreneurship,03/12/2025,13:30,03/12/2025,15:00,Prof. Sk Abu Khalek
Human Resource Management,03/12/2025,15:15,03/12/2025,16:45,Prof. Abhyudaya Anand Mishra
Design Thinking,04/12/2025,09:00,04/12/2025,10:30,Prof. Vishal Ashok Wankhede
Human Resource Management,04/12/2025,10:45,04/12/2025,12:15,Prof. Abhyudaya Anand Mishra
